VKGroup_1;VkGroup_2;Quantity
26419239;30022666;22
32943546;34116496;33
460389;29573241;21
460389;56106344;53
36184135;53782768;26
1177;25232578;43
40553536;41053835;23
29534144;35915449;20
18464856;32194285;30
36008740;32194285;26
57846937;65960786;46
28950133;34274053;73
69589815;1177;38
27895931;29246653;22
79863581;24098496;30
40567146;29559271;26
33338722;36775085;29
29302425;46101364;23
32439535;37119411;48
36184135;40498005;31
22798006;29686754;37
32509740;34483558;20
24713873;41538339;25
40498005;56106344;21
30447908;34274053;23
30022666;786;29
37119411;55051302;29
30022666;23783750;23
43772432;34274053;20
36166073;23475118;24
108468;25336774;30
25153764;35486596;20
23213239;37008294;25
25205856;94;180
12648877;37119411;46
57846937;33621085;23
12648877;23213239;23
29302425;45613675;42
29534144;33621085;63
28587219;35822250;27
23213239;29246653;32
103027469;29559271;38
34168005;34598021;35
33393308;57846937;21
27797026;30559917;43
26127512;36184135;25
29686754;46117626;21
29302425;11283947;31
1672730;11283947;22
36184135;48319873;31
22798006;30277672;26
43215063;36184135;24
38683579;41887171;22
40427933;1177;91
26555975;28627911;28
36941068;38379853;21
32194285;32708863;28
30022666;22522055;20
20629724;36775085;31
26858816;39236729;32
17655824;33301261;29
1388;24565142;26
30602036;32370614;31
29573241;45745333;22
1388;1236;167
39009769;48319873;21
25153764;31935454;51
29559271;346191;32
1388;34483558;23
22798006;48618580;27
31920990;38834885;21
28950133;106084026;23
25817269;48210134;25
27895931;57846937;47
34116496;38415798;51
56106344;36941068;22
41538339;48210134;36
31480508;28866484;23
36166073;41538339;23
25346844;38379853;31
36959676;34215577;25
29302425;57846937;64
57846937;34215577;57
33769500;29302425;48
29246653;48512305;22
29573241;31480508;42
23213239;65960786;20
1388;30602036;22
25817269;26750264;31
57846937;23783750;32
17655824;36047336;33
36166073;29686754;51
1388;25679656;21
11982368;30315369;25
29518065;34168005;25
20629724;51126445;34
22798006;26776509;23
40427933;38415798;38
23626127;29689780;22
32509740;34274053;50
29302425;38744784;36
44781847;57846937;27
29246653;56106344;55
1388;4325149;22
29302425;30315369;23
29690457;37119411;53
26419239;41437811;20
65960786;32370614;28
78019879;35486195;23
30022666;15755094;51
22798006;30022666;94
6136139;37119411;21
28950133;23213239;22
34483558;36959676;24
211437014;11283947;25
78019879;40427933;351
48319873;30022666;34
26750264;63731512;79
27121021;29348258;24
1177;28950133;45
73476;40575907;23
29686754;45064245;23
29302425;27932995;47
1177;45064245;21
1177;39009769;30
25421850;30022666;40
69589815;59240455;62
57846937;30525261;21
20629724;33621085;24
12382740;34274053;35
34483558;41525215;42
55554881;63731512;33
50409684;25153764;22
25232578;29690457;25
1388;31480508;46
27895931;15755094;25
43215063;34215577;25
26307864;38415798;20
19799369;25346844;24
29534144;36147615;70
36959676;34168005;23
23213239;30666517;29
41437811;44743077;20
1388;23553134;32
28950133;30179770;20
460389;28627911;28
24565142;36047336;28
65960786;27932995;25
36166073;26307864;28
29559271;31162722;23
37119411;38379853;45
24098496;45938293;67
38363244;41053835;23
30447908;36184135;23
32131490;35349905;20
63731512;69563163;47
27895931;56106344;40
29302425;48868052;34
24098496;34815360;22
37119411;41538339;40
58737741;35349905;20
12382740;23213239;24
36047336;63731512;36
23475118;25505149;21
29534144;26858816;20
33338722;34483558;25
36166073;28477986;24
34384434;38415798;24
25189523;31752409;46
24098496;57846937;61
24098496;35238813;42
33393308;48539843;21
57846937;48512305;33
108468;36507793;31
22822305;26750264;21
30022666;79863581;36
57846937;219407444;30
29573241;24713873;22
24713873;25117353;32
23148107;28261265;27
20629724;29559271;56
1177;460389;34
1177;34215577;44
25276999;33393308;39
78019879;2158488;26
1177;15755094;40
27797026;35349905;49
28950133;35113021;29
34274053;41887171;20
33489538;35486626;21
30525261;36184135;27
50409684;1711;57
27797026;42763042;20
30022666;35983383;23
18464856;43879004;21
36047336;41827660;26
26555975;25336774;27
24565142;30315369;28
23213239;23553134;43
43215063;48319873;39
1711;94;33
33393308;36209322;23
24565142;38415798;35
22798006;32194285;97
9471321;36507793;32
36184135;45938293;22
33769500;36184135;41
29559271;34378493;22
32194285;44759043;53
87153802;42800749;21
22798006;40335272;48
34483558;38834885;23
36164349;65960786;26
27895931;36941068;25
28477986;36959676;22
30022666;26127512;30
41437811;45960892;25
51345945;40427933;101
26750264;29534144;21
32131490;36184135;22
25346844;79863581;21
54530371;91933860;21
932;20629724;107
460389;29559271;71
23213239;41437811;52
26858816;25346844;24
23213239;33489538;29
27797026;34199707;26
25346844;34483558;41
36166073;18464856;26
33393308;91933860;54
40167434;38415798;25
34137285;37119411;35
25421850;27797026;56
28673372;36147615;23
23213239;34305040;36
25421850;34274053;47
40427933;24565142;23
65464437;932;63
24713873;34483558;22
25346844;24098496;44
32194285;26776509;20
29246653;38233726;21
28556858;29302425;30
33393308;125004421;22
26555975;57846937;35
37119411;38233726;24
33621085;36184135;32
39009769;40167434;41
24086381;34274053;22
29302425;30574574;27
24713873;29348258;25
56106344;23213239;21
29302425;31162722;50
1177;36164349;23
25346844;28772416;54
73476;17655824;33
65960786;20845272;26
27725748;24565142;32
460389;30277672;29
22798006;31976785;39
50409684;38379853;28
12382740;28950133;29
20629724;84793390;23
25117353;41538339;23
16108331;20629724;27
103027469;31976785;21
29534144;1388;28
32015300;37119411;33
23213239;36184135;51
25205856;1177;197
40167434;24098496;40
24713873;40167434;26
22798006;23148107;42
57846937;34199707;20
24098496;29233217;25
25117353;32708863;32
2158488;29302425;23
125004421;25336774;27
34168005;41525215;36
57846937;43215063;31
40553536;41437811;26
29302425;30145618;22
1388;76477496;20
36959676;43772432;24
65464437;25205856;98
30022666;23213239;56
35486195;38415798;24
23213239;33080201;25
29559271;33301261;23
78019879;22798006;50
39009769;39728801;21
30315369;31969346;50
29246653;48319873;20
30022666;30447908;22
41437811;44759043;46
22822305;25346844;32
29686754;36941068;20
71960446;69563163;21
41053835;25117353;37
25817269;24098496;28
29686754;31480508;23
29559271;15755094;55
29559271;32439535;44
29534144;23213239;52
41437811;43772432;27
34168005;24098496;45
26555975;1177;106
41437811;34215577;52
78019879;29246653;20
36166073;39728801;30
23213239;38379853;27
78019879;1388;158
36959676;37119411;62
41437811;39009769;26
41437811;26776509;25
56106344;90730773;38
22822305;33338722;20
