id;name;is_main_group;sub_quantity;university_id;MGU_quantity;MIFI_quantity;SECH_quantity;MEI_quantity;MGIMO_quantity;HSE_quantity;PNIPU_quantity;MIREA_quantity;MTUSI_quantity;MAI_quantity;PGNIU_quantity;RUDN_quantity;ITMO_quantity;REU_quantity;MGTU_quantity;MFTI_quantity;open_sub_quantity;university;is_main_group_int
78019879;МГУ имени М.В.Ломоносова;t;13121;2;1042;18;5;11;28;25;10;9;3;24;23;15;4;17;23;12;1269;МГУ;1
204636234;Механико-математический факультет МГУ;f;25;2;20;0;0;0;0;0;0;0;0;2;0;0;1;0;1;1;25;МГУ;0
46581711;Студенческий cовет Биофака МГУ;f;21;2;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;МГУ;0
59592700;Признания МГУ;f;150;2;136;1;0;0;2;4;0;0;0;0;0;0;0;0;3;4;150;МГУ;0
54295855;Подслушано в МГУ;f;345;2;301;2;0;0;7;14;0;2;0;3;1;0;0;3;5;7;345;МГУ;0
55821382;Факультет психологии МГУ имени М.В. Ломоносова;f;30;2;22;1;3;0;1;1;0;1;0;0;0;0;0;0;1;0;30;МГУ;0
51206473;Профком ВМК МГУ;f;28;2;23;0;0;0;0;1;1;0;0;0;0;0;0;1;1;1;28;МГУ;0
25145570;Факультет политологии МГУ;f;26;2;19;1;0;0;1;2;0;0;0;0;1;1;0;0;0;1;26;МГУ;0
55310751;Барахолка МГУ;f;104;2;92;1;0;0;1;4;0;0;0;1;0;2;0;0;2;1;104;МГУ;0
58425455;Общежитие ГЗ МГУ;f;70;2;65;1;0;1;0;0;1;0;0;1;0;1;0;0;0;0;70;МГУ;0
227;МГУ имени М.В. Ломоносова;f;91;2;78;0;0;2;1;1;0;1;0;2;1;1;0;1;0;3;91;МГУ;0
33538623;Дилетант;f;121;;30;7;3;1;18;25;4;4;1;3;7;6;1;5;5;1;121;;0
126577005;Дополнительное образование в МГУ;f;30;2;26;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;30;МГУ;0
45059353;Биологический факультет МГУ имени М.В.Ломоносова;f;33;2;25;0;0;0;0;0;0;0;0;2;1;1;0;0;0;4;33;МГУ;0
64912153;Студенческий совет Экономического факультета МГУ;f;23;2;21;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;23;МГУ;0
35899505;Исторический факультет МГУ;f;25;2;17;0;1;0;0;2;0;0;0;1;1;0;0;2;0;1;25;МГУ;0
25557243;[BadComedian];f;314;;40;9;6;19;15;31;12;20;17;14;17;7;22;12;53;20;314;;0
10175642;ЕГЭ 100БАЛЛОВ;f;74;;19;2;2;0;4;6;1;1;1;6;10;7;3;0;6;6;74;;0
20629724;Хабр;f;473;;39;27;2;19;14;53;21;25;20;30;26;10;37;17;75;58;473;;0
11563048;Б1 | Карьера;f;71;;15;4;0;0;3;26;0;0;0;2;0;1;1;6;9;4;71;;0
51175007;Lackrosy;f;69;-1;7;6;2;3;1;8;2;7;3;8;2;2;4;4;5;5;69;Не связана;0
51068271;Кулинарные хитрости;f;43;-1;3;1;0;2;2;2;4;4;0;1;6;7;1;7;3;0;43;Не связана;0
30365645;Olimpiada.ru;f;31;-1;7;4;0;0;0;2;2;0;0;2;4;2;2;1;1;4;31;Не связана;0
50124058;Суть философии;f;36;-1;7;1;1;0;0;9;0;1;0;1;3;3;0;0;4;6;36;Не связана;0
65652356;Цитаты преподавателей МГУ;f;276;2;230;2;1;1;10;9;1;1;2;3;0;6;0;3;3;4;276;МГУ;0
32668156;Студсовет Химфака МГУ;f;23;2;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;МГУ;0
24234717;Профком студентов физфака МГУ;f;38;2;37;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;38;МГУ;0
24864761;Бизнес-инкубатор ВШЭ;f;105;128;11;4;0;1;2;55;1;1;1;2;5;1;1;4;6;10;105;НИУ ВШЭ (ГУ-ВШЭ);0
278573;HSE Career | Центр развития карьеры ВШЭ;f;44;128;4;1;0;0;0;26;0;0;0;1;1;2;0;2;4;3;44;НИУ ВШЭ (ГУ-ВШЭ);0
69589815;НИЯУ МИФИ;t;2662;269;13;370;0;5;0;2;2;2;0;8;1;4;2;0;0;6;415;НИЯУ МИФИ;1
65464437;Сеченовский университет;t;4934;215;20;4;262;2;1;5;2;1;6;4;1;6;0;0;3;6;323;Первый МГМУ им. И. М. Сеченова (Сеченовский Университет);1
51345945;НИУ «МЭИ»;t;2454;304;1;9;0;325;1;1;3;1;6;2;0;2;0;1;4;0;356;НИУ МЭИ;1
73476;Книги;f;271;;34;9;7;9;12;14;25;7;5;21;35;20;13;20;25;14;270;;0
36286006;Департамент психологии НИУ ВШЭ;f;21;128;5;0;1;0;1;10;0;1;1;1;0;1;0;0;0;0;21;НИУ ВШЭ (ГУ-ВШЭ);0
23315499;РАБОТА для СТУДЕНТОВ в Москве;f;98;;21;2;12;4;2;6;0;2;0;13;0;10;0;11;13;2;98;;0
23482909;Коммерсантъ;f;210;;36;6;0;4;53;38;8;3;3;6;15;12;4;9;8;5;210;;0
25232578;РБК;f;446;;72;22;7;11;49;73;16;8;7;15;27;27;14;37;34;27;446;;0
26713492;sndk;f;109;;18;4;3;6;1;10;4;8;4;7;2;5;5;2;19;11;109;;0
29287308;Химик-Психопат;f;61;;23;2;7;0;0;1;2;0;1;0;10;3;1;0;2;9;61;;0
50554618;Comics Network;f;52;-1;7;2;3;4;5;2;2;4;3;5;2;3;0;1;6;3;52;Не связана;0
49951422;Фестиваль «Бессонница» / Insomnia;f;50;-1;8;1;2;2;0;2;0;4;4;4;3;3;0;2;6;9;50;Не связана;0
29614963;Странный юмор;f;69;-1;7;1;0;3;3;1;6;4;3;9;6;9;2;4;6;5;69;Не связана;0
33415527;YnP;f;77;;11;0;0;0;10;32;0;0;0;1;0;2;0;4;9;8;77;;0
35632477;Deep Space;f;44;;4;1;0;3;2;3;0;4;1;10;2;2;1;0;5;6;44;;0
37008294;Вечерний Ургант;f;312;;44;10;9;7;21;58;9;4;5;19;24;33;12;25;23;9;312;;0
53066484;MSU Life;f;55;;54;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;55;;0
53280908;CMT - Научный подход | Борис Цацулин | Блог;f;86;;9;2;5;4;2;6;3;3;4;6;8;6;7;2;9;10;86;;0
26555975;МГИМО Университет;t;5543;236;35;8;0;4;652;3;2;0;2;9;8;11;2;6;4;2;748;МГИМО МИД России;1
38489;Пермский Политех | ПНИПУ;t;3747;729;0;0;0;0;0;0;612;0;0;0;42;1;0;0;0;0;655;ПНИПУ (бывш. ПГТУ);1
1388;МИРЭА — Российский технологический университет;t;4782;1187585;19;4;0;10;6;4;2;651;3;12;4;2;0;6;6;7;736;РТУ МИРЭА;1
786;МТУСИ (MTUCI);t;2057;293;0;1;0;2;0;1;0;0;525;1;2;0;0;1;0;0;533;МТУСИ;1
25205856;Высшая школа экономики;t;12326;128;62;19;0;8;32;959;14;1;8;17;23;14;6;23;24;23;1233;НИУ ВШЭ (ГУ-ВШЭ);1
19542789;ВКонтакте для бизнеса;f;324;;28;7;3;9;19;32;46;3;9;21;55;19;19;19;21;14;324;;0
29518065;Just do it;f;198;;21;5;7;5;17;25;13;5;2;8;15;31;7;32;4;1;198;;0
34168005;Бизнес Инфо;f;278;;18;7;1;6;17;29;39;13;13;17;25;32;10;23;15;13;278;;0
55533849;ФРИИ;f;58;;5;2;0;0;2;14;3;4;2;1;5;0;6;1;7;6;58;;0
56180300;РОО «Большой спорт - студентам»;f;69;;41;5;2;1;0;8;0;0;0;2;0;1;0;0;8;1;69;;0
58157836;UpGrade;f;31;;16;0;0;1;2;6;0;0;0;0;0;0;0;0;6;0;31;;0
60161013;Чемпионат МГУ по футболу;f;22;2;19;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;22;МГУ;0
26858816;iFeed;f;233;;21;6;9;10;11;23;10;16;12;16;15;21;10;25;23;5;233;;0
144260965;Подслушано Метро Москвы;f;83;;16;2;8;10;2;7;0;3;0;9;0;6;0;4;13;3;83;;0
53782768;История|History;f;194;;26;10;6;3;16;23;14;5;6;13;11;15;13;12;16;5;194;;0
12248221;Работа;f;83;;11;5;1;5;4;10;1;3;3;6;1;12;0;8;10;3;83;;0
25947555;Brandshop.ru;f;60;;8;1;3;5;3;12;0;0;3;4;2;5;0;5;9;0;60;;0
11283947;Яндекс;f;256;;32;17;1;11;8;36;9;3;8;12;12;8;22;12;29;36;256;;0
29178527;Дом & Еда;f;116;;6;5;2;3;6;7;8;2;5;5;21;14;6;21;4;1;116;;0
132711327;Т—Ж;f;99;;12;3;2;2;6;12;4;1;4;6;11;2;7;6;14;7;99;;0
31976785;Наука и Техника;f;494;;49;16;11;26;14;21;38;29;18;57;31;29;26;25;80;24;494;;0
32804027;Полезное Образование ©;f;100;;8;5;1;3;9;14;3;3;4;4;12;13;2;7;5;7;100;;0
34351337;M O D A;f;63;;6;2;2;2;7;3;6;6;1;2;8;10;1;6;0;1;63;;0
34607647;Бумажный кораблик;f;70;;14;0;5;3;8;5;4;1;0;4;3;12;1;4;5;1;70;;0
37773477;pro искусство.;f;87;;22;2;5;0;5;9;4;3;0;3;7;10;3;9;5;0;87;;0
41818823;Эрудиция: учим языки и расширяем кругозор;f;122;;23;3;7;4;8;13;11;2;2;5;12;15;5;4;4;4;122;;0
33338722;Словарный запас;f;274;;31;6;16;12;13;22;20;8;10;18;33;28;6;20;21;10;274;;0
45960892;PARTY HARD (gif & video);f;87;;7;0;3;3;5;7;12;6;3;9;7;8;2;5;7;3;87;;0
28627911;40 КГ;f;241;;25;3;7;10;21;18;22;5;5;10;25;33;7;39;7;4;241;;0
42968101;Читающие;f;225;;38;6;12;8;9;12;20;6;3;7;36;24;5;13;23;3;225;;0
33080201;Философия | Психология | Саморазвитие;f;167;;12;3;3;4;5;13;18;6;8;10;24;28;6;16;6;5;167;;0
14897324;Интересная планета - путешествия, туризм;f;145;;11;1;5;5;4;10;10;8;13;12;18;17;7;7;9;8;145;;0
41053835;Traveler - Путешествия и туризм;f;306;;26;10;9;3;16;32;33;8;11;16;40;44;5;29;15;9;306;;0
22942343;послание;f;152;;22;1;9;9;7;18;9;6;1;11;13;18;5;8;11;4;152;;0
55051302;Event Hunt - поиск подрядчиков для мероприятий;f;101;;9;2;0;7;8;7;3;10;1;12;3;14;2;13;8;2;101;;0
36868476;Мозговой Штурм;f;113;;7;1;4;8;6;4;14;5;1;9;28;9;3;7;5;2;113;;0
27797026;Полезное образование | Интеллектуариум;f;285;;26;11;9;9;14;19;14;13;13;17;35;32;11;28;22;12;285;;0
42923159;MRZLK;f;125;;14;4;3;10;4;11;7;5;8;7;10;11;5;6;16;4;125;;0
29559271;Science|Наука;f;681;;66;30;17;27;43;51;63;32;26;37;57;63;29;47;60;33;681;;0
57846937;MDK;f;468;;36;12;17;31;20;30;28;25;19;46;33;45;17;38;61;10;468;;0
29690457;Шедевры литературы | книги;f;214;;23;4;7;3;20;23;12;7;2;13;31;23;9;18;11;8;214;;0
75881140;Event hunter - вся творческая работа Москва;f;51;-1;8;0;1;2;3;1;1;6;0;5;4;9;0;2;8;1;51;Не связана;0
45172096;Fast Food Music;f;60;;12;2;2;0;5;8;1;0;0;5;1;7;0;5;10;2;60;;0
58737741;Юмор Шрёдингера;f;293;;33;14;6;16;6;18;24;19;6;20;29;21;25;16;17;23;293;;0
73662138;Церебро Таргет | продвижение и реклама бизнеса;f;127;;14;2;1;3;7;11;15;5;7;7;15;5;10;10;8;7;127;;0
31752409;Мысли Женщин;f;131;;13;2;6;3;14;9;9;6;3;7;16;18;2;11;11;1;131;;0
27531145;B e a u t é | Территория вдохновения;f;118;;9;1;3;5;5;7;15;2;4;5;21;20;5;12;3;1;118;;0
23626127;I ♡ ART;f;229;;24;7;7;8;14;24;14;6;8;8;23;27;11;22;16;10;229;;0
36047336;Образовательный журнал со вкусом;f;202;;22;10;1;6;12;9;15;7;7;11;48;12;9;11;12;10;202;;0
42502560;Мысли на миллион;f;73;;8;3;0;3;6;7;2;3;7;5;4;10;1;8;4;2;73;;0
30936477;Street Styler | мода;f;162;;14;4;10;4;12;13;18;8;4;4;24;12;6;20;7;2;162;;0
31920990;Типичный творческий;f;197;;31;4;7;6;12;18;12;12;7;9;22;25;10;13;5;4;197;;0
56910814;9Cute;f;43;;6;0;0;2;5;6;0;1;0;1;4;3;0;1;12;2;43;;0
62902696;Рик и Морти | 7 сезон;f;61;;6;2;2;2;3;8;3;3;0;4;5;3;2;1;10;7;61;;0
84926122;Важные Статистические Опросы (ВСО);f;40;;9;0;1;1;2;10;0;2;0;5;1;1;1;0;7;0;40;;0
29064821;Планёрка. Журналистика и СМИ;f;76;;22;0;0;2;10;11;0;3;1;0;19;7;0;0;0;1;76;;0
34580489;Идеи для жизни;f;158;;7;5;3;4;11;20;19;2;10;6;20;19;6;17;6;3;158;;0
36941068;AliExpress;f;182;;6;5;3;8;4;7;31;10;11;14;27;16;16;10;12;2;182;;0
40527789;Дистанция. Фриланс, удаленная работа;f;80;;11;1;2;0;5;10;6;2;1;3;15;7;3;5;5;4;80;;0
40609134;Your stuff 4 cash;f;32;;2;1;1;1;2;11;0;0;0;1;1;4;4;2;1;1;32;;0
44508992;Собиратор;f;50;;13;5;2;3;4;3;1;1;0;3;2;3;0;6;2;2;50;;0
29461256;English Journal. Английский;f;62;-1;9;4;1;0;6;9;6;1;1;0;5;6;4;2;4;4;62;Не связана;0
47679753;Smart - умный журнал!;f;188;;10;7;4;6;16;8;17;7;5;18;25;21;8;18;12;6;188;;0
55662720;Психология;f;118;;9;7;3;3;7;6;12;0;4;7;16;18;2;15;5;4;118;;0
12382740;ЁП;f;220;;17;4;3;9;9;5;22;24;10;18;14;23;11;15;29;7;220;;0
31920686;Короткометражки | Мультфильмы;f;55;;11;0;3;0;2;8;5;1;0;1;5;6;4;2;4;3;55;;0
34116496;ВАКАНСИИ ДЛЯ ХОРОШИХ ЛЮДЕЙ;f;337;;54;6;2;9;39;83;4;13;9;11;9;53;0;24;14;7;337;;0
91050183;Леонардо Дайвинчик;f;223;;33;5;9;18;13;11;13;4;9;16;14;25;4;23;21;5;223;;0
43215063;Киномания ► Новинки мира кино;f;287;;26;6;14;11;10;19;28;15;10;27;34;27;8;24;22;6;287;;0
41437811;МХК;f;534;;77;20;30;21;34;76;21;18;8;27;38;60;16;24;50;14;534;;0
62400590;Люди в культуре;f;50;;9;1;0;1;7;10;1;1;0;2;6;6;2;3;1;0;50;;0
72573739;Академическая Скульптура;f;51;;14;1;2;0;5;12;3;0;0;4;1;4;1;2;1;1;51;;0
79138567;Яндекс Кью;f;142;;27;1;6;5;18;36;3;2;2;6;7;6;7;2;9;5;142;;0
86117014;Жирен и красив;f;77;;18;4;2;2;9;5;2;3;1;2;5;9;2;1;8;4;77;;0
90407517;Travelbelka.ru - авиабилеты, туры, отели;f;79;;13;4;1;4;3;6;5;4;3;10;11;4;1;2;7;1;79;;0
120254617;$$$ DANK MEMES $$$ AYY LMAO $$$;f;84;;23;3;6;2;5;12;2;2;1;8;1;4;1;2;9;3;84;;0
47597391;Типичный математик;f;110;;35;6;0;4;0;11;1;1;0;8;2;0;6;1;19;16;110;;0
89379348;QWERTY;f;60;-1;7;5;2;2;1;6;5;3;2;8;2;2;2;1;6;6;60;Не связана;0
77988045;Академическая Архитектура;f;85;;17;1;5;0;13;16;6;2;0;3;1;5;2;3;9;2;85;;0
95543604;Lectures from Top Universities;f;137;;48;0;5;2;18;22;0;2;1;5;6;7;2;1;9;9;137;;0
111587102;киберпанк, который мы заслужили;f;86;;15;9;0;6;6;8;1;3;3;10;5;3;1;0;7;9;86;;0
139105204;хайер скул оф мемс;f;107;;23;2;1;0;6;66;0;0;0;1;2;1;0;2;3;0;107;;0
92876084;Мои любимые юморески;f;76;;21;2;1;3;3;6;0;6;1;6;1;3;2;0;14;7;76;;0
68937293;Event Hunt LOW COST - предложения, TFP.;f;43;-1;6;1;3;2;3;3;2;4;0;5;0;5;0;4;4;1;43;Не связана;0
23553134;TechInsider;f;321;;36;13;3;21;12;23;22;16;11;32;13;11;26;12;45;25;321;;0
51126445;Physics.Math.Code;f;138;;25;15;0;9;1;3;4;4;1;11;10;1;9;0;18;27;138;;0
97882810;kakrodnoy | школа английского;f;79;;21;2;2;2;4;16;1;0;0;8;4;4;3;3;8;1;79;;0
51016572;Десигн;f;136;;16;4;2;8;5;25;3;2;5;10;8;6;12;10;14;6;136;;0
25189523;НОЧЬ;f;199;;14;5;7;4;19;25;17;3;7;10;23;28;4;20;11;2;199;;0
77140183;Ищу модель Москва;f;54;;13;1;6;3;1;1;0;2;1;6;0;5;0;5;9;1;54;;0
32439535;Идеи вашего дома;f;226;;5;4;2;7;9;19;36;13;10;12;33;24;10;29;7;6;226;;0
32615394;КОМПОТ — Журнал со вкусом;f;144;;11;5;0;6;3;13;11;8;4;8;31;19;6;7;6;6;144;;0
52537634;Бумажный самолётик;f;237;;32;7;10;14;14;15;11;11;6;21;15;18;9;11;37;6;237;;0
48210134;BRAIN;f;179;;7;5;5;5;6;15;20;10;10;15;22;18;9;16;11;5;179;;0
139923997;FEMALE MEMES;f;55;;19;1;6;1;2;3;1;1;0;4;2;4;1;2;7;1;55;;0
114086029;контур гуся;f;74;;12;4;1;2;4;6;6;3;2;7;3;5;2;3;9;5;74;;0
121258913;Туры по цене перелета от Vandrouki;f;137;;17;7;4;6;4;20;7;2;3;7;12;6;14;6;16;6;137;;0
29573241;NR;f;228;;31;6;11;12;10;19;11;7;4;28;9;21;8;15;35;1;228;;0
25817269;Factura — блог | Саморазвитие;f;204;;15;2;7;5;11;17;25;10;1;9;23;31;12;16;11;9;204;;0
18517784;Абитуриенты мехмата МГУ;f;20;2;16;0;0;0;0;0;1;0;0;0;0;0;0;0;1;2;20;МГУ;0
33390409;SFAP | Спортивная жизнь | Спортивные девушки;f;63;;2;2;2;0;6;5;5;3;4;2;8;3;5;10;3;3;63;;0
16466790;Теории и практики;f;234;;42;6;1;3;25;51;9;1;0;8;20;16;11;12;12;17;234;;0
143830192;Фонд президентских грантов;f;79;;19;0;2;0;1;5;8;3;0;4;25;5;3;2;1;1;79;;0
36147615;Английский язык;f;421;;49;11;13;7;25;53;23;15;16;20;50;45;21;36;30;7;421;;0
38772029;The Classy Issue;f;72;;6;2;1;1;6;9;7;2;3;2;5;10;2;10;6;0;72;;0
29684347;YES;f;127;;11;3;11;6;6;13;9;2;1;8;15;16;3;18;5;0;127;;0
51888238;LOOK AT ME;f;52;-1;8;1;4;4;3;6;4;0;0;2;6;7;0;4;3;0;52;Не связана;0
46891492;Учите английский с Би-би-си;f;53;;10;3;1;1;3;3;4;0;2;6;7;5;2;2;3;1;53;;0
30767675;Фонд «Сколково»;f;95;;21;9;1;2;7;6;2;3;0;2;8;7;1;3;11;12;95;;0
87153802;journal minimalism;f;196;;33;3;8;9;7;32;13;6;3;4;10;18;5;16;23;6;196;;0
140355142;Лекции;f;54;;21;2;0;3;0;4;2;0;1;4;5;4;1;0;3;4;54;;0
55264762;Частное сообщество;f;64;;8;1;3;6;2;10;2;1;4;5;2;4;4;4;7;1;64;;0
30938657;Говорит МГУ;f;24;2;22;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;24;МГУ;0
41109472;КИНО И МУЗЫКА | Саундтреки к фильмам;f;77;;5;4;2;2;4;11;2;2;3;4;11;11;2;8;5;1;77;;0
22768095;Школа управления Сколково;f;53;;15;4;0;1;5;9;4;3;0;0;3;0;1;2;3;3;53;;0
31457299;SFAP;f;52;-1;3;0;0;2;3;5;7;2;3;4;4;6;3;4;4;2;52;Не связана;0
64952366;Студенческий совет НИУ ВШЭ;f;48;128;3;0;0;0;1;41;0;0;0;0;0;1;0;1;1;0;48;НИУ ВШЭ (ГУ-ВШЭ);0
35169624;3D Журналистика;f;30;;6;1;0;1;0;15;0;1;0;0;2;2;2;0;0;0;30;;0
39321576;Я люблю русский язык!;f;327;;51;6;5;8;15;27;19;9;8;16;61;34;16;16;24;12;327;;0
54218032;Wonderzine;f;64;;12;0;1;1;6;25;3;0;0;0;5;3;1;2;2;3;64;;0
54355057;Бесплатная Москва;f;75;;8;3;4;3;3;13;2;2;2;4;1;11;0;6;10;3;75;;0
28866484;НАШЕ;f;154;;9;3;3;9;6;10;17;11;5;20;22;6;8;6;11;8;154;;0
