VKGroup_1;VkGroup_2;Quantity;vk1_custom_id;vk2_custom_id
26419239;30022666;22;295;408
32943546;34116496;33;519;556
460389;29573241;21;58;389
460389;56106344;53;58;1027
36184135;53782768;26;642;989
1177;25232578;43;10;253
40553536;41053835;23;745;760
29534144;35915449;20;386;632
18464856;32194285;30;153;502
36008740;32194285;26;634;502
57846937;65960786;46;1046;1137
28950133;34274053;73;363;565
69589815;1177;38;1171;10
27895931;29246653;22;330;373
79863581;24098496;30;1251;227
40567146;29559271;26;746;388
33338722;36775085;29;531;653
29302425;46101364;23;375;864
32439535;37119411;48;511;665
36184135;40498005;31;642;742
22798006;29686754;37;182;394
32509740;34483558;20;512;576
24713873;41538339;25;241;771
40498005;56106344;21;742;1027
30447908;34274053;23;424;565
30022666;786;29;408;6
37119411;55051302;29;665;1010
30022666;23783750;23;408;219
43772432;34274053;20;820;565
36166073;23475118;24;641;205
108468;25336774;30;41;256
25153764;35486596;20;249;619
23213239;37008294;25;192;660
25205856;94;180;251;1
12648877;37119411;46;125;665
57846937;33621085;23;1046;544
12648877;23213239;23;125;192
29302425;45613675;42;375;853
29534144;33621085;63;386;544
28587219;35822250;27;351;629
23213239;29246653;32;192;373
103027469;29559271;38;1364;388
34168005;34598021;35;559;582
33393308;57846937;21;537;1046
27797026;30559917;43;328;431
26127512;36184135;25;283;642
29686754;46117626;21;394;865
29302425;11283947;31;375;116
1672730;11283947;22;69;116
36184135;48319873;31;642;905
22798006;30277672;26;182;417
43215063;36184135;24;814;642
38683579;41887171;22;699;784
40427933;1177;91;741;10
26555975;28627911;28;298;352
36941068;38379853;21;658;692
32194285;32708863;28;502;516
30022666;22522055;20;408;175
20629724;36775085;31;168;653
26858816;39236729;32;309;712
17655824;33301261;29;150;529
1388;24565142;26;12;238
30602036;32370614;31;433;506
29573241;45745333;22;389;856
1388;1236;167;12;11
39009769;48319873;21;706;905
25153764;31935454;51;249;488
29559271;346191;32;388;52
1388;34483558;23;12;576
22798006;48618580;27;182;912
31920990;38834885;21;487;703
28950133;106084026;23;363;1373
25817269;48210134;25;275;902
27895931;57846937;47;330;1046
34116496;38415798;51;556;693
56106344;36941068;22;1027;658
41538339;48210134;36;771;902
31480508;28866484;23;470;360
36166073;41538339;23;641;771
25346844;38379853;31;257;692
36959676;34215577;25;659;562
29302425;57846937;64;375;1046
57846937;34215577;57;1046;562
33769500;29302425;48;547;375
29246653;48512305;22;373;908
29573241;31480508;42;389;470
23213239;65960786;20;192;1137
1388;30602036;22;12;433
25817269;26750264;31;275;306
57846937;23783750;32;1046;219
17655824;36047336;33;150;637
36166073;29686754;51;641;394
1388;25679656;21;12;269
11982368;30315369;25;120;418
29518065;34168005;25;385;559
20629724;51126445;34;168;953
22798006;26776509;23;182;307
40427933;38415798;38;741;693
23626127;29689780;22;214;395
32509740;34274053;50;512;565
29302425;38744784;36;375;700
44781847;57846937;27;836;1046
29246653;56106344;55;373;1027
1388;4325149;22;12;82
29302425;30315369;23;375;418
29690457;37119411;53;396;665
26419239;41437811;20;295;767
65960786;32370614;28;1137;506
78019879;35486195;23;1238;618
30022666;15755094;51;408;141
22798006;30022666;94;182;408
6136139;37119411;21;92;665
28950133;23213239;22;363;192
34483558;36959676;24;576;659
211437014;11283947;25;1572;116
78019879;40427933;351;1238;741
48319873;30022666;34;905;408
26750264;63731512;79;306;1119
27121021;29348258;24;316;377
1177;28950133;45;10;363
73476;40575907;23;39;747
29686754;45064245;23;394;843
29302425;27932995;47;375;333
1177;45064245;21;10;843
1177;39009769;30;10;706
25421850;30022666;40;259;408
69589815;59240455;62;1171;1076
57846937;30525261;21;1046;426
20629724;33621085;24;168;544
12382740;34274053;35;123;565
34483558;41525215;42;576;770
55554881;63731512;33;1022;1119
50409684;25153764;22;943;249
25232578;29690457;25;253;396
1388;31480508;46;12;470
27895931;15755094;25;330;141
43215063;34215577;25;814;562
26307864;38415798;20;290;693
19799369;25346844;24;163;257
29534144;36147615;70;386;639
36959676;34168005;23;659;559
23213239;30666517;29;192;437
41437811;44743077;20;767;834
1388;23553134;32;12;210
28950133;30179770;20;363;414
460389;28627911;28;58;352
24565142;36047336;28;238;637
65960786;27932995;25;1137;333
36166073;26307864;28;641;290
29559271;31162722;23;388;460
37119411;38379853;45;665;692
24098496;45938293;67;227;861
38363244;41053835;23;691;760
30447908;36184135;23;424;642
32131490;35349905;20;497;615
63731512;69563163;47;1119;1169
27895931;56106344;40;330;1027
29302425;48868052;34;375;914
24098496;34815360;22;227;591
37119411;41538339;40;665;771
58737741;35349905;20;1066;615
12382740;23213239;24;123;192
36047336;63731512;36;637;1119
23475118;25505149;21;205;264
29534144;26858816;20;386;309
33338722;34483558;25;531;576
36166073;28477986;24;641;348
34384434;38415798;24;572;693
25189523;31752409;46;250;478
24098496;57846937;61;227;1046
24098496;35238813;42;227;611
33393308;48539843;21;537;909
57846937;48512305;33;1046;908
108468;36507793;31;41;648
22822305;26750264;21;183;306
30022666;79863581;36;408;1251
57846937;219407444;30;1046;1578
29573241;24713873;22;389;241
24713873;25117353;32;241;247
23148107;28261265;27;189;342
20629724;29559271;56;168;388
1177;460389;34;10;58
1177;34215577;44;10;562
25276999;33393308;39;255;537
78019879;2158488;26;1238;74
1177;15755094;40;10;141
27797026;35349905;49;328;615
28950133;35113021;29;363;601
34274053;41887171;20;565;784
33489538;35486626;21;540;620
30525261;36184135;27;426;642
50409684;1711;57;943;15
27797026;42763042;20;328;801
30022666;35983383;23;408;633
18464856;43879004;21;153;822
36047336;41827660;26;637;782
26555975;25336774;27;298;256
24565142;30315369;28;238;418
23213239;23553134;43;192;210
43215063;48319873;39;814;905
1711;94;33;15;1
33393308;36209322;23;537;644
24565142;38415798;35;238;693
22798006;32194285;97;182;502
9471321;36507793;32;108;648
36184135;45938293;22;642;861
33769500;36184135;41;547;642
29559271;34378493;22;388;571
32194285;44759043;53;502;835
87153802;42800749;21;1277;803
22798006;40335272;48;182;738
34483558;38834885;23;576;703
36164349;65960786;26;640;1137
27895931;36941068;25;330;658
28477986;36959676;22;348;659
30022666;26127512;30;408;283
41437811;45960892;25;767;862
51345945;40427933;101;960;741
26750264;29534144;21;306;386
32131490;36184135;22;497;642
25346844;79863581;21;257;1251
54530371;91933860;21;1003;1307
932;20629724;107;8;168
460389;29559271;71;58;388
23213239;41437811;52;192;767
26858816;25346844;24;309;257
23213239;33489538;29;192;540
27797026;34199707;26;328;561
25346844;34483558;41;257;576
36166073;18464856;26;641;153
33393308;91933860;54;537;1307
40167434;38415798;25;733;693
34137285;37119411;35;558;665
25421850;27797026;56;259;328
28673372;36147615;23;353;639
23213239;34305040;36;192;568
25421850;34274053;47;259;565
40427933;24565142;23;741;238
65464437;932;63;1132;8
24713873;34483558;22;241;576
25346844;24098496;44;257;227
32194285;26776509;20;502;307
29246653;38233726;21;373;689
28556858;29302425;30;350;375
33393308;125004421;22;537;1431
26555975;57846937;35;298;1046
37119411;38233726;24;665;689
33621085;36184135;32;544;642
39009769;40167434;41;706;733
24086381;34274053;22;224;565
29302425;30574574;27;375;432
24713873;29348258;25;241;377
56106344;23213239;21;1027;192
29302425;31162722;50;375;460
1177;36164349;23;10;640
25346844;28772416;54;257;356
73476;17655824;33;39;150
65960786;20845272;26;1137;170
27725748;24565142;32;325;238
460389;30277672;29;58;417
22798006;31976785;39;182;491
50409684;38379853;28;943;692
12382740;28950133;29;123;363
20629724;84793390;23;168;1268
25117353;41538339;23;247;771
16108331;20629724;27;142;168
103027469;31976785;21;1364;491
29534144;1388;28;386;12
32015300;37119411;33;493;665
23213239;36184135;51;192;642
25205856;1177;197;251;10
40167434;24098496;40;733;227
24713873;40167434;26;241;733
22798006;23148107;42;182;189
57846937;34199707;20;1046;561
24098496;29233217;25;227;372
25117353;32708863;32;247;516
2158488;29302425;23;74;375
125004421;25336774;27;1431;256
34168005;41525215;36;559;770
57846937;43215063;31;1046;814
40553536;41437811;26;745;767
29302425;30145618;22;375;412
1388;76477496;20;12;1222
36959676;43772432;24;659;820
65464437;25205856;98;1132;251
30022666;23213239;56;408;192
35486195;38415798;24;618;693
23213239;33080201;25;192;520
29559271;33301261;23;388;529
78019879;22798006;50;1238;182
39009769;39728801;21;706;724
30315369;31969346;50;418;490
29246653;48319873;20;373;905
30022666;30447908;22;408;424
41437811;44759043;46;767;835
22822305;25346844;32;183;257
29686754;36941068;20;394;658
71960446;69563163;21;1190;1169
41053835;25117353;37;760;247
25817269;24098496;28;275;227
29686754;31480508;23;394;470
29559271;15755094;55;388;141
29559271;32439535;44;388;511
29534144;23213239;52;386;192
41437811;43772432;27;767;820
34168005;24098496;45;559;227
26555975;1177;106;298;10
41437811;34215577;52;767;562
78019879;29246653;20;1238;373
36166073;39728801;30;641;724
23213239;38379853;27;192;692
78019879;1388;158;1238;12
36959676;37119411;62;659;665
41437811;39009769;26;767;706
41437811;26776509;25;767;307
56106344;90730773;38;1027;1301
22822305;33338722;20;183;531
29302425;12818778;27;375;128
1177;38415798;45;10;693
113071474;12648877;35;1404;125
346191;24098496;35;52;227
43772432;48210134;22;820;902
50409684;298073;44;943;50
29302425;29369218;23;375;380
24713873;34305040;27;241;568
29534144;40167434;71;386;733
25817269;37119411;55;275;665
57846937;25346844;34;1046;257
27895931;28627911;27;330;352
40427933;25557243;55;741;266
36166073;30447908;25;641;424
34118551;34483558;30;557;576
33769500;40335272;49;547;738
28477986;28950133;46;348;363
23611958;25153764;29;213;249
40427933;22822305;37;741;183
78019879;56106344;48;1238;1027
20629724;72495085;62;168;1197
31480508;28950133;29;470;363
35850939;37119411;22;630;665
932;30315369;42;8;418
65960786;30525261;21;1137;426
26307864;38834885;20;290;703
63731512;79459310;55;1119;1250
32194285;31480508;24;502;470
57846937;29573241;26;1046;389
29559271;35349905;76;388;615
27895931;35486195;25;330;618
34199707;48210134;24;561;902
33393308;35145657;21;537;604
78019879;34384434;28;1238;572
38683579;29559271;45;699;388
26776509;28950133;37;307;363
22798006;26614831;20;182;302
30022666;31480508;133;408;470
31976785;41041067;41;491;759
26858816;45613675;21;309;853
24098496;35145657;40;227;604
36775085;31935454;23;653;488
29559271;38379853;54;388;692
17655824;26127512;45;150;283
17655824;27932995;33;150;333
25153764;41827660;41;249;782
28950133;29302425;91;363;375
41437811;46172262;28;767;867
29246653;34215577;49;373;562
38233726;45613675;23;689;853
33393308;40018862;40;537;729
30022666;39236729;34;408;712
14897324;20845272;38;136;170
29559271;45960892;34;388;862
29573241;57876954;23;389;1048
22822305;34384434;32;183;572
29302425;12382740;22;375;123
37119411;79863581;21;665;1251
78019879;65960786;29;1238;1137
26555975;32194285;77;298;502
57846937;72495085;23;1046;1197
42811897;90730773;21;804;1301
48319873;56106344;33;905;1027
90730773;32509740;22;1301;512
26858816;33338722;23;309;531
17655824;38415798;41;150;693
22798006;90730773;48;182;1301
1388;460389;21;12;58
33769500;34384434;31;547;572
78019879;90730773;36;1238;1301
38683579;28477986;20;699;348
38683579;39321576;66;699;714
29534144;36507793;127;386;648
346191;20845272;22;52;170
40427933;27725748;20;741;325
26555975;1711;207;298;15
31976785;23783750;21;491;219
29559271;48868052;30;388;914
113071474;20845272;39;1404;170
29559271;30666517;47;388;437
17655824;26750264;25;150;306
43215063;63731512;41;814;1119
25346844;29559271;95;257;388
28556858;40167434;24;350;733
40167434;41818823;27;733;781
19720218;20629724;23;162;168
29302425;30447908;30;375;424
26555975;95543604;39;298;1330
40553536;40567146;22;745;746
73662138;19542789;24;1203;161
1177;94;30;10;1
36166073;40498005;34;641;742
38363244;37119411;25;691;665
29559271;42307767;52;388;792
30447908;41053835;20;424;760
57846937;20845272;24;1046;170
29302425;30559917;66;375;431
57846937;24565142;22;1046;238
29534144;31516466;33;386;472
460389;34116496;21;58;556
1388;94;20;12;1
30559917;34274053;40;431;565
35486195;34274053;22;618;565
22798006;33769500;42;182;547
23170931;41538339;21;191;771
11982368;31969346;21;120;490
25817269;17655824;20;275;150
26555975;33769500;25;298;547
29686754;15755094;28;394;141
55404958;63731512;41;1019;1119
786;38415798;21;6;693
22798006;32370614;29;182;506
27797026;29348258;36;328;377
1177;786;26;10;6
34274053;26555975;21;565;298
40498005;43879004;35;742;822
36184135;90730773;71;642;1301
786;36184135;23;6;642
33080201;48210134;30;520;902
36184135;29559271;29;642;388
31976785;26307864;24;491;290
22798006;29573241;25;182;389
57846937;42923159;21;1046;809
36184135;30022666;33;642;408
29559271;36164349;25;388;640
25117353;27121021;26;247;316
34483558;36047336;22;576;637
24098496;41053835;70;227;760
43776215;56106344;24;821;1027
31976785;28950133;30;491;363
1177;26776509;25;10;307
1388;23213239;29;12;192
31976785;32439535;23;491;511
34215577;31976785;22;562;491
25189523;30022666;42;250;408
51345945;1388;41;960;12
25346844;34384434;31;257;572
29302425;33301261;35;375;529
37119411;41525215;23;665;770
26127512;27797026;26;283;328
30022666;26858816;48;408;309
30022666;48618580;30;408;912
27797026;34274053;76;328;565
24098496;26599838;23;227;300
28950133;90730773;33;363;1301
1711;932;92;15;8
12382740;31976785;28;123;491
41437811;24565142;32;767;238
30022666;58737741;82;408;1066
108468;29534144;35;41;386
30022666;38233726;42;408;689
63731512;66640066;28;1119;1142
24098496;31636785;42;227;476
50409684;786;23;943;6
932;36775085;34;8;653
29686754;34351337;27;394;569
29534144;31969346;72;386;490
29302425;26858816;25;375;309
24098496;51189706;55;227;955
26127512;29348258;25;283;377
37119411;38834885;104;665;703
786;34274053;42;6;565
24713873;29559271;43;241;388
23148107;30602036;27;189;433
57846937;57876954;50;1046;1048
24713873;36147615;32;241;639
32194285;28950133;32;502;363
57846937;34384434;22;1046;572
48618580;90730773;21;912;1301
25205856;1711;196;251;15
25117353;48940689;20;247;915
24098496;211437014;21;227;1572
29559271;23213239;41;388;192
34199707;38415798;20;561;693
27895931;58170807;22;330;1055
34274053;35285306;33;565;612
41053835;41538339;30;760;771
33393308;36147615;44;537;639
25276999;29302425;21;255;375
460389;39009769;21;58;706
40427933;25232578;40;741;253
30022666;24713873;35;408;241
40167434;41827660;33;733;782
26858816;32708863;27;309;516
25752703;29690457;21;272;396
34274053;34116496;24;565;556
22798006;40553536;29;182;745
24713873;31976785;21;241;491
32194285;26307864;20;502;290
26419239;29559271;27;295;388
78019879;69589815;219;1238;1171
40567146;41053835;28;746;760
25189523;34118551;38;250;557
24098496;42763042;41;227;801
30022666;32439535;39;408;511
48319873;36959676;20;905;659
23626127;36184135;35;214;642
54530371;84793390;31;1003;1268
29302425;34815360;20;375;591
29559271;4325149;35;388;82
30022666;30574574;23;408;432
24565142;25752703;22;238;272
36184135;40335272;37;642;738
28587219;37684434;27;351;675
29573241;23148107;27;389;189
26284064;26555975;28;289;298
786;58807130;38;6;1068
29573241;36959676;20;389;659
22798006;40498005;32;182;742
33338722;41538339;23;531;771
26750264;40167434;49;306;733
22741624;37119411;20;179;665
36147615;63731512;72;639;1119
54530371;91453124;29;1003;1304
29559271;27797026;38;388;328
12382740;32370614;20;123;506
30559917;36147615;31;431;639
26555975;29686754;38;298;394
23626127;35486626;37;214;620
932;128692347;60;8;1445
78019879;30022666;90;1238;408
1177;48512305;22;10;908
25346844;17655824;31;257;150
22798006;33338722;43;182;531
23213239;34116496;40;192;556
35349905;34274053;27;615;565
73476;20629724;21;39;168
57846937;40567146;32;1046;746
33769500;34215577;43;547;562
25679656;58737741;22;269;1066
32131490;32194285;31;497;502
22822305;36184135;30;183;642
57846937;36147615;27;1046;639
22798006;39728801;23;182;724
24565142;44759043;29;238;835
17655824;29302425;48;150;375
38683579;40886007;41;699;755
25421850;30559917;46;259;431
932;15365973;21;8;139
28477986;33338722;23;348;531
30559917;33080201;24;431;520
29534144;38233726;30;386;689
22798006;56176916;21;182;1030
26858816;31976785;25;309;491
34274053;43215063;24;565;814
25232578;36184135;25;253;642
17655824;45938293;23;150;861
24098496;31752409;37;227;478
40567146;56106344;42;746;1027
30022666;34384434;70;408;572
30022666;56106344;87;408;1027
12648877;25153764;40;125;249
22822305;2158488;31;183;74
17655824;35486626;42;150;620
29302425;29559271;127;375;388
24098496;41041067;45;227;759
24098496;27531145;42;227;321
50409684;2237;142;943;17
34274053;36147615;71;565;639
34486229;37119411;39;577;665
40427933;28261334;27;741;343
22798006;48512305;35;182;908
12382740;27797026;22;123;328
1388;25117353;29;12;247
1177;43215063;25;10;814
29302425;36147615;91;375;639
19799369;24098496;21;163;227
57846937;32194285;28;1046;502
32194285;33621085;29;502;544
69589815;125553684;59;1171;1432
34116496;40776453;26;556;753
38379853;41002749;34;692;758
460389;28950133;54;58;363
26555975;29246653;23;298;373
34199707;25117353;28;561;247
43879004;90730773;28;822;1301
40427933;43215063;25;741;814
36047257;36507793;21;636;648
25153764;34168005;25;249;559
212768340;219528359;21;1574;1579
30401645;36507793;41;423;648
103027469;30022666;27;1364;408
36959676;41041067;36;659;759
31480508;30525261;24;470;426
28950133;47679753;34;363;896
34168005;37119411;83;559;665
27895931;40567146;39;330;746
12382740;15755094;26;123;141
1388;43215063;24;12;814
37684434;38379853;25;675;692
1177;29246653;40;10;373
33080201;38363244;22;520;691
24713873;28950133;32;241;363
33338722;39321576;43;531;714
38683579;33769500;37;699;547
1388;401713;25;12;57
29302425;34274053;150;375;565
22822305;23213239;24;183;192
30022666;1388;35;408;12
40427933;1388;162;741;12
56106344;26858816;25;1027;309
34168005;42307767;22;559;792
58170807;29559271;22;1055;388
25153764;33393308;51;249;537
43215063;44759043;22;814;835
30315369;32041317;20;418;494
460389;48319873;22;58;905
24263942;37119411;21;232;665
30022666;59570143;31;408;1079
44759043;29559271;32;835;388
32439535;34274053;37;511;565
38683579;40167434;68;699;733
33393308;34168005;31;537;559
33338722;40167434;34;531;733
27725748;28772416;21;325;356
24098496;34116496;104;227;556
24098496;29369218;26;227;380
29534144;90730773;36;386;1301
32509740;34580489;25;512;581
20845272;4325149;24;170;82
33769500;29559271;60;547;388
30022666;38415798;55;408;693
34116496;40527789;28;556;744
28761941;31976785;21;354;491
12648877;34274053;22;125;565
1711;786;25;15;6
36184135;64392368;23;642;1122
