VKGroup_1;VkGroup_2;Quantity;vk1_custom_id;vk2_custom_id
69589815;1177;38;151;8
25205856;94;180;39;0
40427933;1177;91;85;8
1388;1236;167;10;9
78019879;40427933;351;158;85
69589815;59240455;62;151;136
50409684;1711;57;107;12
1711;94;33;12;0
51345945;40427933;101;112;85
65464437;932;63;145;6
25205856;1177;197;39;8
65464437;25205856;98;145;39
26555975;1177;106;46;8
78019879;1388;158;158;10
50409684;298073;44;107;25
26555975;1711;207;46;12
1177;94;30;8;0
1388;94;20;10;0
1177;786;26;8;4
51345945;1388;41;112;10
1711;932;92;12;6
50409684;786;23;107;4
25205856;1711;196;39;12
78019879;69589815;219;158;151
786;58807130;38;4;134
50409684;2237;142;107;13
69589815;125553684;59;151;180
40427933;1388;162;85;10
1711;786;25;12;4
69589815;94;44;151;0
1236;45382098;31;9;96
40427933;25205856;256;85;39
932;12742657;20;6;30
1711;1177;95;12;8
50409684;1177;32;107;8
78019879;40202469;70;158;84
932;786;54;6;4
69589815;1388;83;151;10
78019879;50409684;156;158;107
50409684;26555975;72;107;46
78019879;1177;128;158;8
932;94;136;6;0
78019879;51345945;63;158;112
50409684;25205856;88;107;39
1388;932;99;10;6
65464437;26555975;59;145;46
50409684;932;96;107;6
26555975;25205856;486;46;39
51345945;1177;22;112;8
69589815;47305845;39;151;99
69589815;1711;41;151;12
51345945;50409684;57;112;107
1388;786;40;10;4
26555975;932;136;46;6
40202469;1388;26;84;10
69589815;65464437;34;151;145
1388;1177;46;10;8
51345945;786;25;112;4
78019879;65464437;219;158;145
40202469;932;29;84;6
1177;932;100;8;6
69589815;932;183;151;6
40427933;1711;95;85;12
26555975;1388;60;46;10
40427933;786;36;85;4
1388;2599;104;10;14
40427933;26555975;119;85;46
26555975;94;55;46;0
1711;1388;110;12;10
51345945;26555975;26;112;46
78019879;94;95;158;0
25205856;1388;84;39;10
51345945;932;60;112;6
69589815;12742657;98;151;30
69589815;26555975;70;151;46
1236;1388;44;9;10
50409684;40427933;194;107;85
40427933;94;57;85;0
40427933;932;302;85;6
69589815;25205856;118;151;39
1388;57143976;51;10;125
50409684;105281577;44;107;174
69589815;51345945;52;151;112
65464437;1711;87;145;12
1388;42869722;46;10;89
69589815;40427933;186;151;85
78019879;26555975;486;158;46
78019879;1711;225;158;12
78019879;786;21;158;4
69589815;58421306;80;151;128
78019879;932;388;158;6
50409684;43965091;51;107;92
1388;45382098;69;10;96
50409684;1388;109;107;10
69589815;50409684;87;151;107
78019879;25205856;682;158;39
51345945;1711;23;112;12
25205856;932;384;39;6
25205856;33351123;22;39;65
25205856;60770247;34;39;140
25205856;24864761;111;39;37
78019879;51206473;43;158;111
5669254;65464437;35;28;145
25205856;53921002;21;39;116
69589815;54277047;31;151;117
78019879;58425455;95;158;129
40202469;38489;254;84;21
25205856;39538039;20;39;82
65652356;227;28;147;2
94;58939492;37;0;135
78019879;45059353;41;158;95
78019879;44044055;54;158;93
40202469;1711;24;84;12
49962921;78019879;63;104;158
25205856;31990499;23;39;61
40427933;55236406;39;85;121
78019879;54295855;413;158;118
65464437;50409684;34;145;107
40427933;58637519;25;85;133
26555975;37871506;61;46;77
25205856;27917858;20;39;47
49962921;94791640;31;104;168
25205856;27919462;21;39;48
5669254;58060828;23;28;127
49962921;59592700;25;104;137
78019879;60161013;27;158;139
26555975;80799548;81;46;160
932;129056835;54;6;183
932;87263485;63;6;163
25205856;50124058;20;39;105
37495032;49962921;36;75;104
5486;37495032;33;16;75
38489;932;20;21;6
24606912;37495032;20;36;75
5486;24606912;30;16;36
25205856;55157869;21;39;120
25205856;786;31;39;4
26555975;36810750;55;46;72
59592700;37495032;28;137;75
57969268;30865126;20;126;56
932;72263219;40;6;152
69589815;100132311;42;151;170
54295855;193648656;21;118;195
932;26085;68;6;20
78019879;27917858;151;158;47
40202469;26555975;49;84;46
65464437;45770614;37;145;97
24864761;25205856;33;37;39
25205856;78019879;46;39;158
59592700;94791640;26;137;168
25205856;30513532;139;39;52
26555975;57969268;162;46;126
30865126;57969268;27;56;126
51345945;25205856;56;112;39
78019879;204636234;36;158;197
57969268;80799548;24;126;160
27917858;49962921;31;47;104
78019879;160473982;94;158;190
25205856;72605916;20;39;153
25205856;54295855;46;39;118
5486;27917858;26;16;47
78019879;49962921;164;158;104
932;17906;51;6;19
78019879;1149;51;158;7
26555975;78019879;20;46;158
932;43281341;159;6;90
932;166330483;43;6;191
5486;54295855;27;16;118
5669254;43369725;47;28;91
78019879;60770247;24;158;140
54295855;59592700;106;118;137
26555975;871;58;46;5
30865126;64170543;22;56;144
65464437;26151903;70;145;44
58060828;43369725;27;127;91
50409684;26042525;35;107;42
54295855;27917858;51;118;47
37495032;78019879;69;75;158
25205856;132;95;39;1
26555975;64170543;57;46;144
37495032;54295855;32;75;118
65464437;69062504;42;145;149
54295855;44044055;23;118;93
78019879;98169847;26;158;169
65464437;42228365;32;145;88
50409684;145005178;81;107;189
5486;49962921;27;16;104
160473982;54295855;35;190;118
51345945;26274699;34;112;45
25205856;37050618;21;39;74
65652356;126577005;20;147;181
65652356;54295855;61;147;118
59592700;65652356;64;137;147
78019879;5486;122;158;16
69589815;142251832;45;151;187
25205856;29352303;52;39;50
160473982;27917858;21;190;47
25205856;278573;67;39;24
160473982;49962921;21;190;104
932;88599290;38;6;164
69589815;166414649;35;151;192
55059952;24234717;21;119;35
5669254;111086033;26;28;178
37495032;65652356;52;75;147
78019879;142049550;37;158;186
65464437;40427933;59;145;85
78019879;59592700;183;158;137
65464437;58060828;100;145;127
40202469;89562865;39;84;166
25205856;80358348;22;39;159
25205856;36286006;22;39;70
55059952;78019879;22;119;158
65652356;49962921;20;147;104
58060828;65464437;47;127;145
25205856;37495032;35;39;75
78019879;65652356;359;158;147
43369725;65464437;35;91;145
54295855;94791640;45;118;168
78019879;94791640;118;158;168
25205856;26555975;39;39;46
932;1694;49;6;11
50409684;29914275;47;107;51
78019879;126577005;60;158;181
54295855;37495032;68;118;75
58060828;5669254;25;127;28
65464437;43369725;116;145;91
25205856;65652356;32;39;147
78019879;25145570;26;158;38
25205856;56386997;20;39;124
78019879;134182806;20;158;184
37495032;94791640;26;75;168
25205856;51976666;22;39;114
51345945;3960;66;112;15
27917858;78019879;48;47;158
25205856;38489;36;39;21
58060828;111086033;20;127;178
26555975;30865126;199;46;56
5669254;26151903;31;28;44
65464437;5669254;105;145;28
54295855;227;36;118;2
27917858;59592700;26;47;137
932;49951422;21;6;103
78019879;55059952;57;158;119
78019879;176441665;49;158;194
25205856;60095373;50;39;138
50409684;102916829;40;107;171
26555975;208420;42;46;23
54295855;78019879;190;118;158
227;78019879;21;2;158
78019879;120688893;22;158;179
54295855;5486;36;118;16
1711;58636773;80;12;132
25205856;104687211;20;39;173
58425455;78019879;37;129;158
65652356;37495032;27;147;75
932;30610911;64;6;55
5486;59592700;27;16;137
