id;name;is_main_group;sub_quantity;university_id;open_sub_quantity;university;is_main_group_int;custom_id;custom_university_id
227;МГУ имени М.В. Ломоносова;f;91;2;91;МГУ;0;2;0
278573;HSE Career | Центр развития карьеры ВШЭ;f;44;128;44;НИУ ВШЭ (ГУ-ВШЭ);0;24;2
24234717;Профком студентов физфака МГУ;f;38;2;38;МГУ;0;35;0
24864761;Бизнес-инкубатор ВШЭ;f;105;128;105;НИУ ВШЭ (ГУ-ВШЭ);0;37;2
25145570;Факультет политологии МГУ;f;26;2;26;МГУ;0;38;0
32668156;Студсовет Химфака МГУ;f;23;2;23;МГУ;0;63;0
45059353;Биологический факультет МГУ имени М.В.Ломоносова;f;33;2;33;МГУ;0;95;0
50124058;Суть философии;f;36;-1;36;Не связана;0;105;16
51068271;Кулинарные хитрости;f;43;-1;43;Не связана;0;109;16
51175007;Lackrosy;f;69;-1;69;Не связана;0;110;16
786;МТУСИ (MTUCI);t;2057;293;533;МТУСИ;1;4;8
1388;МИРЭА — Российский технологический университет;t;4782;1187585;736;РТУ МИРЭА;1;10;15
38489;Пермский Политех | ПНИПУ;t;3747;729;655;ПНИПУ (бывш. ПГТУ);1;21;13
25205856;Высшая школа экономики;t;12326;128;1233;НИУ ВШЭ (ГУ-ВШЭ);1;39;2
26555975;МГИМО Университет;t;5543;236;748;МГИМО МИД России;1;46;5
36286006;Департамент психологии НИУ ВШЭ;f;21;128;21;НИУ ВШЭ (ГУ-ВШЭ);0;70;2
51206473;Профком ВМК МГУ;f;28;2;28;МГУ;0;111;0
51345945;НИУ «МЭИ»;t;2454;304;356;НИУ МЭИ;1;112;10
54295855;Подслушано в МГУ;f;345;2;345;МГУ;0;118;0
55821382;Факультет психологии МГУ имени М.В. Ломоносова;f;30;2;30;МГУ;0;122;0
58425455;Общежитие ГЗ МГУ;f;70;2;70;МГУ;0;129;0
59592700;Признания МГУ;f;150;2;150;МГУ;0;137;0
60161013;Чемпионат МГУ по футболу;f;22;2;22;МГУ;0;139;0
65464437;Сеченовский университет;t;4934;215;323;Первый МГМУ им. И. М. Сеченова (Сеченовский Университет);1;145;3
49951422;Фестиваль «Бессонница» / Insomnia;f;50;-1;50;Не связана;0;103;16
