id;name;is_main_group;sub_quantity;university_id;open_sub_quantity;university;is_main_group_int;custom_id;custom_university_id
35899505;Исторический факультет МГУ;f;25;2;25;МГУ;0;41;0
46581711;Студенческий cовет Биофака МГУ;f;21;2;21;МГУ;0;51;0
51345945;НИУ «МЭИ»;t;2454;304;356;НИУ МЭИ;1;54;10
55310751;Барахолка МГУ;f;104;2;104;МГУ;0;57;0
64912153;Студенческий совет Экономического факультета МГУ;f;23;2;23;МГУ;0;63;0
65464437;Сеченовский университет;t;4934;215;323;Первый МГМУ им. И. М. Сеченова (Сеченовский Университет);1;65;3
69589815;НИЯУ МИФИ;t;2662;269;415;НИЯУ МИФИ;1;67;7
78019879;МГУ имени М.В.Ломоносова;t;13121;2;1269;МГУ;1;71;0
128692347;Цитаты преподавателей МФТИ;f;38;297;38;МФТИ (Физтех);0;85;9
30365645;Olimpiada.ru;f;31;-1;31;Не связана;0;32;16
219528359;Ольга Малащенко;f;54;-1;54;Не связана;0;88;16
786;МТУСИ (MTUCI);t;2057;293;533;МТУСИ;1;1;8
1388;МИРЭА — Российский технологический университет;t;4782;1187585;736;РТУ МИРЭА;1;4;15
38489;Пермский Политех | ПНИПУ;t;3747;729;655;ПНИПУ (бывш. ПГТУ);1;8;13
7984081;Профком обучающихся МФТИ;f;100;297;100;МФТИ (Физтех);0;12;9
25205856;Высшая школа экономики;t;12326;128;1233;НИУ ВШЭ (ГУ-ВШЭ);1;23;2
26555975;МГИМО Университет;t;5543;236;748;МГИМО МИД России;1;25;5
64952366;Студенческий совет НИУ ВШЭ;f;48;128;48;НИУ ВШЭ (ГУ-ВШЭ);0;64;2
29461256;English Journal. Английский;f;62;-1;62;Не связана;0;28;16
29614963;Странный юмор;f;69;-1;69;Не связана;0;30;16
31457299;SFAP;f;52;-1;52;Не связана;0;35;16
75881140;Event hunter - вся творческая работа Москва;f;51;-1;51;Не связана;0;70;16
123695926;Палата 69;f;47;-1;47;Не связана;0;84;16
1177;РЭУ им. Г.В. Плеханова;t;5633;326;692;РЭУ им. Г. В. Плеханова;1;3;11
23408338;Культурно-образовательный центр Студсоюза МГУ;f;39;2;39;МГУ;0;20;0
25570041;Бизнес-клуб МГИМО;f;102;236;102;МГИМО МИД России;0;24;5
